n,run,theta_NO,theta_BH,t_NO,t_BH
10,50,2.22999369725585e-05,0.00039240007754415274,0.0013143999967724085,0.00014549994375556707
10,51,2.150004729628563e-05,0.00038670003414154053,0.0009014999959617853,0.0003386000171303749
10,52,2.1900050342082977e-05,0.0003992000129073858,0.0013195999199524522,0.0007691000355407596
10,53,2.2499938495457172e-05,0.0004016000311821699,0.0014865000266581774,0.00045519997365772724
10,54,2.280005719512701e-05,0.00039060006383806467,0.0011985000455752015,0.00017659994773566723
10,55,2.129992935806513e-05,0.0003958999877795577,0.0011662000324577093,0.00013830000534653664
10,56,2.2000051103532314e-05,0.0004018999170511961,0.0012111000251024961,0.0002772000152617693
10,57,2.259993925690651e-05,0.0003912000684067607,0.0010327000636607409,0.00024830002803355455
10,58,2.1200045011937618e-05,0.00039350008592009544,0.0010995999909937382,0.00029669993091374636
10,59,2.2399937734007835e-05,0.0003760999534279108,0.000978900003246963,0.0005730000557377934
10,60,2.1900050342082977e-05,0.0003781999694183469,0.000936600030399859,0.00018019997514784336
10,61,2.2600055672228336e-05,0.0003787999739870429,0.0009024000028148293,0.00033469998743385077
10,62,2.189993392676115e-05,0.00037869997322559357,0.0011919999960809946,0.0004427999956533313
10,63,2.1799933165311813e-05,0.0003773999633267522,0.001118500018492341,0.0002440999960526824
10,64,2.22999369725585e-05,0.00037429993972182274,0.0015499000437557697,0.00038590002804994583
10,65,2.1400046534836292e-05,0.000381199992261827,0.0011971000349149108,0.00027929991483688354
10,66,2.2099935449659824e-05,0.0003793999785557389,0.0010285000316798687,0.0001832999987527728
10,67,2.1999934688210487e-05,0.00038810004480183125,0.0012255000183358788,0.0003515999997034669
10,68,2.159993164241314e-05,0.0003797999816015363,0.0014527000021189451,0.0001379000023007393
10,69,2.2300053387880325e-05,0.00037459994200617075,0.0012954999692738056,0.00029230001382529736
10,70,2.180004958063364e-05,0.00038109999150037766,0.0012140999315306544,0.0004376999568194151
10,71,2.1999934688210487e-05,0.000372599926777184,0.0012592000421136618,0.00027570000384002924
10,72,2.1699932403862476e-05,0.00038029998540878296,0.000994600006379187,0.00019010005053132772
10,73,2.2300053387880325e-05,0.00037699996028095484,0.001604399993084371,0.00014220003504306078
10,74,2.2500054910779e-05,0.00037530006375163794,0.0013479999033734202,0.00022599997464567423
10,75,2.7700094506144524e-05,0.0003736999351531267,0.0015110999811440706,0.0003220000071451068
10,76,2.2400054149329662e-05,0.00037859997246414423,0.0013467000098899007,0.00023809995036572218
10,77,2.159993164241314e-05,0.0003798999823629856,0.0014147000620141625,0.00023929995950311422
10,78,2.2300053387880325e-05,0.00037519994657486677,0.0012688999995589256,0.00013890000991523266
10,79,2.119992859661579e-05,0.0003790999762713909,0.000986000057309866,0.0002919000107795
10,80,2.220005262643099e-05,0.00038300000596791506,0.0009533000411465764,0.0002759000053629279
10,81,2.2699940018355846e-05,0.0003695000195875764,0.001052000094205141,0.0005276000592857599
10,82,2.1600048057734966e-05,0.00038070010486990213,0.0012251000152900815,0.00024179997853934765
10,83,2.1900050342082977e-05,0.00037589995190501213,0.0016438999446108937,0.00028270005714148283
